,num_comercial_3km,num_primary_3km,num_secondary_3km,num_mall_2km,num_mrt_1.5km
0,0.0,10.0,8.0,2.0,1.0
1,7.0,24.0,18.0,6.0,0.0
2,1.0,7.0,8.0,7.0,1.0
3,8.0,6.0,9.0,3.0,3.0
4,3.0,6.0,4.0,5.0,11.0
5,2.0,10.0,5.0,4.0,1.0
6,5.0,11.0,6.0,31.0,14.0
7,0.0,4.0,3.0,4.0,2.0
8,1.0,9.0,10.0,14.0,6.0
9,8.0,6.0,10.0,3.0,5.0
10,3.0,10.0,11.0,2.0,2.0
11,1.0,18.0,9.0,3.0,5.0
12,2.0,10.0,5.0,4.0,1.0
13,1.0,9.0,14.0,4.0,3.0
14,1.0,7.0,6.0,9.0,3.0
15,0.0,12.0,11.0,7.0,1.0
16,3.0,14.0,13.0,6.0,5.0
17,5.0,12.0,6.0,19.0,10.0
18,3.0,5.0,3.0,14.0,14.0
19,3.0,13.0,13.0,4.0,3.0
20,9.0,6.0,9.0,6.0,2.0
21,5.0,10.0,8.0,1.0,0.0
22,10.0,8.0,9.0,3.0,3.0
23,2.0,11.0,11.0,13.0,4.0
24,3.0,11.0,5.0,0.0,3.0
25,4.0,7.0,2.0,39.0,24.0
26,1.0,9.0,8.0,10.0,2.0
27,5.0,17.0,15.0,7.0,2.0
28,2.0,9.0,9.0,30.0,7.0
29,3.0,5.0,3.0,14.0,14.0
30,0.0,0.0,0.0,0.0,0.0
31,3.0,10.0,7.0,32.0,7.0
32,0.0,17.0,12.0,2.0,1.0
33,5.0,8.0,12.0,2.0,3.0
34,5.0,8.0,12.0,2.0,3.0
35,4.0,10.0,8.0,2.0,1.0
36,4.0,10.0,4.0,45.0,17.0
37,3.0,16.0,15.0,4.0,5.0
38,2.0,10.0,9.0,27.0,4.0
39,11.0,7.0,12.0,3.0,5.0
40,0.0,11.0,8.0,5.0,1.0
41,4.0,23.0,20.0,4.0,3.0
42,5.0,16.0,11.0,5.0,2.0
43,0.0,16.0,14.0,9.0,2.0
44,3.0,12.0,15.0,4.0,7.0
45,4.0,6.0,11.0,2.0,3.0
46,2.0,19.0,16.0,5.0,5.0
47,0.0,18.0,12.0,4.0,2.0
48,2.0,16.0,9.0,5.0,1.0
49,5.0,12.0,5.0,19.0,10.0
50,6.0,17.0,10.0,5.0,0.0
51,1.0,12.0,11.0,7.0,8.0
52,5.0,20.0,19.0,5.0,5.0
53,8.0,6.0,10.0,3.0,5.0
54,0.0,15.0,16.0,2.0,1.0
55,3.0,7.0,4.0,6.0,6.0
56,4.0,14.0,9.0,4.0,1.0
57,4.0,10.0,7.0,4.0,1.0
58,4.0,6.0,3.0,35.0,19.0
59,0.0,0.0,0.0,0.0,0.0
60,3.0,20.0,12.0,9.0,2.0
61,4.0,26.0,15.0,6.0,1.0
62,2.0,9.0,6.0,23.0,4.0
63,4.0,6.0,4.0,31.0,18.0
64,4.0,12.0,8.0,3.0,1.0
65,3.0,8.0,11.0,20.0,1.0
66,0.0,18.0,13.0,2.0,1.0
67,4.0,18.0,13.0,2.0,7.0
68,0.0,17.0,11.0,4.0,3.0
69,4.0,10.0,8.0,2.0,0.0
70,3.0,9.0,8.0,30.0,4.0
71,4.0,26.0,15.0,5.0,1.0
72,8.0,6.0,9.0,3.0,3.0
73,5.0,12.0,6.0,29.0,12.0
74,4.0,11.0,10.0,5.0,0.0
75,3.0,6.0,4.0,8.0,12.0
76,2.0,9.0,9.0,14.0,5.0
77,3.0,9.0,6.0,15.0,7.0
78,3.0,8.0,11.0,20.0,1.0
79,5.0,18.0,16.0,5.0,2.0
80,2.0,7.0,4.0,1.0,0.0
81,5.0,13.0,11.0,5.0,2.0
82,2.0,10.0,5.0,4.0,1.0
83,4.0,9.0,6.0,22.0,15.0
84,0.0,11.0,10.0,7.0,3.0
85,3.0,17.0,8.0,15.0,9.0
86,0.0,0.0,0.0,0.0,0.0
87,3.0,17.0,15.0,5.0,1.0
88,3.0,16.0,16.0,5.0,4.0
89,1.0,12.0,11.0,7.0,8.0
90,3.0,6.0,4.0,5.0,11.0
91,3.0,9.0,7.0,34.0,11.0
92,0.0,13.0,14.0,3.0,1.0
93,6.0,20.0,12.0,5.0,0.0
94,2.0,12.0,10.0,6.0,4.0
95,0.0,4.0,2.0,4.0,2.0
96,8.0,6.0,10.0,3.0,5.0
97,3.0,16.0,15.0,4.0,5.0
98,1.0,15.0,10.0,10.0,7.0
99,2.0,15.0,7.0,4.0,1.0
100,5.0,8.0,12.0,2.0,3.0
101,4.0,8.0,7.0,3.0,2.0
102,2.0,17.0,16.0,7.0,5.0
103,4.0,8.0,6.0,5.0,2.0
104,4.0,10.0,8.0,2.0,1.0
105,1.0,16.0,10.0,5.0,8.0
106,2.0,11.0,10.0,5.0,4.0
107,4.0,15.0,8.0,3.0,0.0
108,5.0,20.0,19.0,7.0,2.0
