listing_id,count_commerical,count_mrt_station,count_primary,count_secondary,count_shopping
122881,0,1,3,3,1
259374,0,0,3,4,1
665422,0,0,1,1,1
857699,0,2,0,0,1
216061,0,3,1,0,1
625939,0,0,1,0,0
816508,0,5,2,0,4
483990,0,2,0,0,3
904428,0,1,0,2,0
755024,0,2,0,1,1
397777,0,1,2,4,0
336367,0,2,3,1,0
789722,0,0,1,0,0
548202,0,2,0,2,0
747463,0,2,0,3,0
105693,0,1,2,2,3
751626,2,2,2,1,5
346016,0,5,2,0,3
929136,0,9,0,0,2
284659,0,2,5,4,4
675630,1,1,0,5,1
783538,0,0,1,0,1
865932,1,1,2,2,3
755828,1,1,2,3,4
304721,0,1,1,0,0
927770,1,12,1,1,17
211875,0,1,1,4,0
434664,1,1,4,4,2
374057,0,3,0,0,19
376033,0,9,0,0,2
645643,0,0,0,0,0
147597,1,3,2,1,3
241839,0,0,2,1,2
423838,0,1,0,0,0
478130,0,1,0,0,0
536990,0,0,3,2,1
562341,1,10,1,1,14
951647,0,3,3,5,1
266919,0,1,0,0,19
568242,1,3,0,0,3
133948,0,0,4,2,2
653031,1,3,3,2,2
336889,0,1,1,3,0
101294,0,1,3,2,4
534693,0,3,1,2,0
145428,0,2,1,1,0
528418,0,1,4,3,0
315935,0,1,1,1,2
732886,0,1,3,2,1
478899,0,5,1,0,4
644995,0,0,2,1,2
659519,0,3,2,2,0
632651,1,2,4,3,4
506452,0,2,0,1,1
707312,0,0,4,1,2
398076,0,3,1,0,1
546167,0,0,5,3,3
210683,0,0,2,1,0
589915,1,12,2,1,16
627414,0,0,0,0,0
713387,0,1,1,1,0
720007,0,1,5,2,1
169421,0,3,1,3,0
527968,1,12,2,1,15
950446,0,0,1,0,1
516648,0,1,0,0,4
688864,0,0,2,0,0
674664,0,3,3,3,0
321526,0,1,3,1,2
443596,0,0,3,1,0
567087,0,2,1,0,14
755683,0,1,4,3,1
861474,0,2,0,0,1
793671,0,5,2,0,4
797442,0,0,0,0,0
679570,0,6,1,0,3
666812,0,1,0,2,0
670219,0,4,0,0,3
753775,0,1,0,0,4
505503,1,1,5,3,3
538912,0,0,0,0,0
984579,0,1,6,3,3
224313,0,0,1,0,0
459816,0,6,1,0,6
936638,0,1,3,2,1
163049,0,4,2,0,3
290007,0,0,0,0,0
234703,0,1,3,2,0
354811,0,3,2,2,2
407252,0,3,2,2,0
971073,0,3,1,0,1
366130,0,1,0,1,1
881285,0,1,1,2,0
958830,0,0,3,1,1
230223,0,3,4,2,3
247732,0,2,1,0,3
803807,0,2,0,1,1
780006,0,3,3,5,1
383425,1,3,1,0,5
363779,0,1,5,2,1
