listing_id,distance_to_closest_station
122881,0.5735669280056614 km
259374,1.7288950279847584 km
665422,1.3152564309450319 km
857699,0.7238853301692189 km
216061,0.370021699633321 km
625939,1.3304479014905077 km
816508,0.40060816971559593 km
483990,0.7263574533891516 km
904428,0.5024255727745687 km
755024,0.7422298115143062 km
397777,0.5706174172311359 km
336367,0.6589949411986342 km
789722,1.3304479014905077 km
548202,0.1784035776976268 km
747463,0.9354159473160131 km
105693,0.48388370713494566 km
751626,0.5423898068192496 km
346016,0.23648667753681496 km
929136,0.4116543568903019 km
284659,0.4312087686720097 km
675630,0.9040641497394813 km
783538,1.6959052811393718 km
865932,0.17845366219095618 km
755828,0.8390915934284437 km
304721,0.04094345561908406 km
927770,0.2513503749966011 km
211875,0.969396354856356 km
434664,0.18022170722785721 km
374057,0.6542704619648994 km
376033,0.4116543568903019 km
645643,2370.557627125421 km
147597,0.40299386101618945 km
241839,1.2134900708629086 km
423838,0.9771979653557551 km
478130,0.9771979653557551 km
536990,1.2481379167309066 km
562341,0.13895388054708685 km
951647,0.2616725943696553 km
266919,0.7534804433488056 km
568242,0.2878281727897157 km
133948,1.4872142483088573 km
653031,0.586126966863649 km
336889,0.7734440412294923 km
101294,0.540770462871009 km
534693,0.5114733568051708 km
145428,0.5090760366235524 km
528418,0.5296877416208914 km
315935,0.4916153345643586 km
732886,0.6873781189033001 km
478899,0.09725484627372023 km
644995,2.286669503467111 km
659519,0.3109708694451854 km
632651,0.8385472452108185 km
506452,0.7422298115143062 km
707312,1.253713752970859 km
398076,0.5429493450799642 km
546167,1.0011265884821638 km
210683,1.0840754480313732 km
589915,0.30309058529472116 km
627414,2370.557627125421 km
713387,0.9887402993032104 km
720007,0.715746142204745 km
169421,0.793640843026821 km
527968,0.27950078133522177 km
950446,1.0513572473112718 km
516648,0.21628050881533617 km
688864,1.1234925249814804 km
674664,0.8439455124439295 km
321526,0.40157611754775385 km
443596,1.5761110256257724 km
567087,0.3299329169256995 km
755683,0.6166396945823139 km
861474,0.7238853301692189 km
793671,0.3236008293043683 km
797442,1.7380604759295024 km
679570,0.30985169088648856 km
666812,0.2401585606700365 km
670219,0.6569235719289843 km
753775,0.21628050881533617 km
505503,0.5026575775053203 km
538912,1.6576651141108782 km
984579,0.3406503066326477 km
224313,1.3304479014905077 km
459816,0.28065942745045797 km
936638,0.6877071417505977 km
163049,0.3035766995772331 km
290007,9604.100712215979 km
234703,0.9223643802757774 km
354811,0.7412388882328171 km
407252,0.3109708694451854 km
971073,0.370021699633321 km
366130,0.8556409262859774 km
881285,0.9022329557216232 km
958830,1.7650542340792954 km
230223,0.8362158174782267 km
247732,0.5720318511075849 km
803807,0.7422298115143062 km
780006,0.2616725943696553 km
383425,0.5793004511883556 km
363779,0.4910879548443457 km
195458,0.9771979653557551 km
793778,0.4445777407899646 km
948988,1.0782158754358935 km
725724,0.6237597998699288 km
289777,1.3421317139270292 km
592664,0.5330912903212794 km
719599,0.6781487338396955 km
120595,2.072965650338057 km
802112,0.7507234977709579 km
232140,0.5114733568051708 km
623557,1.0092039114545892 km
713738,0.22466357533704032 km
928274,0.36402091340850296 km
182623,0.8287237220493657 km
380948,1.208110583972454 km
771100,0.3434059868545624 km
496924,0.22466357533704032 km
738955,0.40157611754775385 km
354317,0.24154986384504742 km
126122,1.1412412031204686 km
393241,2.1453949326555453 km
969890,1.6592765489310168 km
440648,1.2481379167309066 km
447531,0.3991644733567766 km
176095,1.2880177609131742 km
984774,0.9179074455598061 km
219320,1.2945085844801834 km
797081,0.42884199227577974 km
429465,1.489937999228665 km
358683,1.7859416900285905 km
217390,0.2616725943696553 km
571594,0.5649044303961347 km
121893,0.2948052214764922 km
940893,0.6826977623312288 km
767153,1.1502998078602287 km
123368,0.14870546302085158 km
472924,0.8649366619054341 km
269310,0.5841227029682979 km
192169,1.372963758928905 km
483294,0.4467808234585281 km
154619,1.2945085844801834 km
336512,1.679720630976199 km
231496,0.33696909518931945 km
313868,0.9274101650823191 km
398229,0.44263121763298907 km
855268,1.489937999228665 km
404611,0.6573594812238394 km
733366,0.540770462871009 km
122472,0.4708597966340489 km
100820,1.0523461371317635 km
950485,0.8502149711931968 km
933883,0.8187860464423217 km
868774,0.3991771798180785 km
774046,0.14006135628986122 km
901966,2.0625688906988477 km
110179,0.3851516560560121 km
906838,0.6131204798973429 km
775285,1.1760825767673198 km
423525,0.6635602386028426 km
393477,0.28303631003551927 km
570007,1.489937999228665 km
809269,0.4182196324806153 km
332016,1.7089030743888016 km
610083,1.4982828900473273 km
514965,0.9738028629704557 km
779492,0.859035833291297 km
684022,0.6218118811633162 km
740800,1.9009983079843926 km
465821,2.856093159102872 km
306635,1.1550483368508162 km
416591,0.7597008366027064 km
111677,1.6644602354436329 km
200752,1.3794636093493138 km
145704,1.38432629172597 km
362937,0.4030988968297876 km
245862,1.0101639272011493 km
902483,2.0857374322793425 km
756546,0.904012732372709 km
525107,0.11730057582915254 km
915949,0.3299329169256995 km
509990,0.9040641497394813 km
319684,1.6127827942366486 km
563836,0.8204455825039114 km
297761,0.26604936677944646 km
475668,0.3239928731926967 km
646701,0.8657841682029855 km
635469,2.737376243019738 km
413056,1.38432629172597 km
510133,0.6164733082807533 km
778326,0.3588038362775357 km
315467,1.9689773266653188 km
979139,0.7982050230491233 km
212589,0.6166396945823139 km
609520,0.8565581723961228 km
856631,0.3548022182799783 km
462198,1.0815084958167145 km
400558,0.19746017483936115 km
312102,1.1099440466842092 km
136613,0.4299087183301202 km
775000,0.789892755035463 km
197774,1.2005246018995157 km
884705,0.6569235719289843 km
379231,0.8616644463261811 km
870692,1.4482654220574638 km
474941,0.5770931513297651 km
751651,0.7294629908316825 km
858879,0.5573112967580113 km
315630,0.07419310245831419 km
897050,0.4552585633551962 km
444912,1.489937999228665 km
351655,2370.557627125421 km
257822,0.7851994321263621 km
166768,1.2096924644263556 km
986872,0.6311532266411254 km
120806,1.4482654220574638 km
372289,0.9959776868536803 km
520418,0.4182196324806153 km
148740,1.4475292423795072 km
686685,0.4420963333043461 km
284651,0.4182196324806153 km
515188,0.30550790287815166 km
721051,0.3548022182799783 km
794407,1.6370903598657387 km
959350,2370.557627125421 km
116929,0.7294629908316825 km
629192,0.8006515365900493 km
853867,0.8643980361418662 km
859605,0.590592763761915 km
693729,3.1399636270410554 km
790402,1.3612754611200266 km
684918,0.858620788917488 km
212892,0.8701061103421246 km
786929,0.6607825191189626 km
337815,0.17109967099028373 km
556491,0.8223472480166575 km
734954,0.5251934209200907 km
570841,0.793640843026821 km
536310,0.7507234977709579 km
514638,0.3662823889424521 km
951482,1.0076272782301237 km
666022,1.3612754611200266 km
556260,0.7688743734968853 km
742016,0.8701061103421246 km
425494,1.626391906624692 km
142470,0.36457275539031114 km
652136,0.6587041588704169 km
489325,0.21328023143654717 km
764304,0.48869851440470563 km
929189,0.24077557601085436 km
742571,0.7294629908316825 km
638371,0.6569235719289843 km
802295,0.8287237220493657 km
564527,0.17502283613046335 km
227598,1.45249600712458 km
421444,2.286669503467111 km
319821,0.42213069189861074 km
530048,0.6569235719289843 km
815719,0.1500074147987568 km
861524,0.7493354306617471 km
813569,1.8938300970817723 km
368146,0.3588038362775357 km
903275,0.4546454343229791 km
836236,0.8467326483214983 km
414541,0.374232659112074 km
863453,0.5609745633494596 km
892215,0.1500074147987568 km
600691,1.2257377391944677 km
609691,0.23620332386870063 km
685031,0.8786984822949562 km
667152,0.9771979653557551 km
272857,0.131100700147655 km
715759,0.11730057582915254 km
432322,0.30309058529472116 km
451748,0.9040641497394813 km
919147,0.6339911837997361 km
326513,0.35184018274961654 km
592583,0.40051534981841186 km
665195,0.6506060979718524 km
324971,1.5095862670275824 km
145867,0.40157611754775385 km
775260,0.44263121763298907 km
822459,0.612577391493338 km
755594,0.5668220103648317 km
469604,0.9354159473160131 km
438409,1.5337474734688419 km
209864,0.9354159473160131 km
377288,0.9048855343486097 km
308463,0.24077557601085436 km
420092,0.9438862023500375 km
224728,1.0980808540674054 km
668263,1.3612754611200266 km
385123,0.3588038362775357 km
357918,0.7849498302397698 km
564347,0.668550455532621 km
470195,1.2746732067283886 km
475582,0.9040641497394813 km
351335,0.27008653391145593 km
944019,0.5424925069557541 km
974868,0.5528374327268958 km
118457,1.1949419933716137 km
